No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port
61,0.016571,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x841e No such name PTR 12.2.0.10.in-addr.arpa,53,57884
62,0.01675,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xe009 No such name PTR 14.2.0.10.in-addr.arpa,53,52807
63,0.016917,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x4c37 No such name PTR 13.2.0.10.in-addr.arpa,53,36885
64,0.017093,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xec22 No such name PTR 15.2.0.10.in-addr.arpa,53,58488
65,5.168218,PcsCompu_92:ab:0d,RealtekU_12:35:00,ARP,42,0,0,0,0,0,0,0,0,0,0,0,1,0,Who has 10.0.2.1? Tell 10.0.2.4,,
66,5.168569,RealtekU_12:35:00,PcsCompu_92:ab:0d,ARP,60,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0.2.1 is at 52:54:00:12:35:00,,
67,13.743994,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x5de0 PTR 0.2.0.10.in-addr.arpa OPT,59832,53
68,13.744155,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x6a4e PTR 1.2.0.10.in-addr.arpa OPT,51403,53
69,13.744276,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xd259 PTR 2.2.0.10.in-addr.arpa OPT,56026,53
70,13.7444,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7be7 PTR 3.2.0.10.in-addr.arpa OPT,47949,53
71,13.744514,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x92d9 PTR 4.2.0.10.in-addr.arpa OPT,45548,53
72,13.744631,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x5b9c PTR 5.2.0.10.in-addr.arpa OPT,44909,53
73,13.744744,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xe62a PTR 6.2.0.10.in-addr.arpa OPT,43253,53
74,13.744848,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x95fe PTR 7.2.0.10.in-addr.arpa OPT,59919,53
75,13.744944,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x46e0 PTR 8.2.0.10.in-addr.arpa OPT,35314,53
76,13.745053,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xa99b PTR 9.2.0.10.in-addr.arpa OPT,56183,53
77,13.747629,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x5de0 No such name PTR 0.2.0.10.in-addr.arpa OPT,53,59832
78,13.747836,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x5de0 PTR 0.2.0.10.in-addr.arpa,59832,53
79,13.748152,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x6a4e No such name PTR 1.2.0.10.in-addr.arpa OPT,53,51403
80,13.748292,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x6a4e PTR 1.2.0.10.in-addr.arpa,51403,53
81,13.748906,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xd259 No such name PTR 2.2.0.10.in-addr.arpa OPT,53,56026
82,13.749019,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7be7 No such name PTR 3.2.0.10.in-addr.arpa OPT,53,47949
83,13.7491,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xd259 PTR 2.2.0.10.in-addr.arpa,56026,53
84,13.749177,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7be7 PTR 3.2.0.10.in-addr.arpa,47949,53
85,13.749284,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x92d9 No such name PTR 4.2.0.10.in-addr.arpa OPT,53,45548
86,13.74942,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x92d9 PTR 4.2.0.10.in-addr.arpa,45548,53
87,13.749524,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x5b9c No such name PTR 5.2.0.10.in-addr.arpa OPT,53,44909
88,13.749613,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x5b9c PTR 5.2.0.10.in-addr.arpa,44909,53
