Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
59,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,52807.0,0,0,0
60,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36885.0,0,0,0
61,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,58488.0,0,0,0
62,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0
63,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0
64,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,59832.0,53.0,0,0,0
65,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,51403.0,53.0,0,0,0
66,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,56026.0,53.0,0,0,0
67,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,47949.0,53.0,0,0,0
68,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,45548.0,53.0,0,0,0
69,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,44909.0,53.0,0,0,0
70,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,43253.0,53.0,0,0,0
71,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,59919.0,53.0,0,0,0
72,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,35314.0,53.0,0,0,0
73,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,56183.0,53.0,0,0,0
74,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,59832.0,0,0,0
75,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,59832.0,53.0,0,0,0
76,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,51403.0,0,0,0
77,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,51403.0,53.0,0,0,0
78,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56026.0,0,0,0
79,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,47949.0,0,0,0
80,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,56026.0,53.0,0,0,0
81,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,47949.0,53.0,0,0,0
82,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,45548.0,0,0,0
83,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,45548.0,53.0,0,0,0
84,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,44909.0,0,0,0
85,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,44909.0,53.0,0,0,0
86,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43253.0,0,0,0
87,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,43253.0,53.0,0,0,0
88,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,59919.0,0,0,0
89,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,59919.0,53.0,0,0,0
90,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,35314.0,0,0,0
91,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,35314.0,53.0,0,0,0
92,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56183.0,0,0,0
93,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,56183.0,53.0,0,0,0
94,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,59832.0,0,0,0
95,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,51403.0,0,0,0
96,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,58800.0,53.0,0,0,0
97,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,60901.0,53.0,0,0,0
98,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,56162.0,53.0,0,0,0
99,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56026.0,0,0,0
100,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,56043.0,53.0,0,0,0
101,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,47949.0,0,0,0
102,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,41636.0,53.0,0,0,0
103,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,57149.0,53.0,0,0,0
104,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,45548.0,0,0,0
105,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,44909.0,0,0,0
106,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43253.0,0,0,0
107,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,59919.0,0,0,0
108,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,35314.0,0,0,0
109,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56183.0,0,0,0
110,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,58800.0,0,0,0
111,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,58800.0,53.0,0,0,0
112,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,60901.0,0,0,0
113,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,60901.0,53.0,0,0,0
114,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56162.0,0,0,0
115,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,56162.0,53.0,0,0,0
116,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56043.0,0,0,0
117,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,56043.0,53.0,0,0,0
118,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,41636.0,0,0,0
119,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,41636.0,53.0,0,0,0
120,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,57149.0,0,0,0
121,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,57149.0,53.0,0,0,0
122,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,58800.0,0,0,0
123,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,60901.0,0,0,0
