Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
8697,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8698,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8700,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8702,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8704,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8707,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8708,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8712,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8713,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8716,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8717,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8720,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8722,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8723,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8725,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8728,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8730,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8731,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8734,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8736,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8737,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8739,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8741,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8742,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8745,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8746,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8748,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8750,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8751,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8752,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8754,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8756,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8757,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8760,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8761,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8763,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8764,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8767,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8768,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8771,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8772,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8773,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8775,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8776,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8778,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8780,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8782,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8784,5,6,3,11,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
